Filename,Kanji,Kun,On,Hán Việt,English,Vietnamese
1,一,ひと-、 ひと.つ,イチ、 イツ,Nhất,"One, 1","Một, 1"
2,乙 ,おと-、 きのと,オツ、 イツ,Ất,"Second (party to an agrement), ",ngôi thứ hai thuộc hàng Can
3,〇,,,Linh,"Zero, 0",Số 0
4,丁,ひのと,チョウ、 テイ、 チン、 トウ、 チ,Đinh,counter for leaves in a book ,họ Đinh
5,七,なな、 なな.つ、 なの,シチ,Thất,"Seven, 7",Số 7
6,九,ここの、 ここの.つ,キュウ、 ク,Cửu,"Nine, 9",Số 9
7,了 ,, リョウ,Liễu,finish; completion; the end,"Xong, hết, đã rồi"
8,二,ふた、 ふた.つ、 ふたたび,ニ、 ジ,Nhị,"Two, 2",Số 2
9,人,ひと、 -り、 -と, ジン、 ニン,Nhân,person; someone; somebody,Con người
10, 入 ,い.る、 -い.る、 -い.り、 い.れる、 -い.れ、 はい.る,ニュウ、 ジュ,Nhập,"Entering , income",Vào trong 
11, 八," や, や.つ, やっ.つ, よう","ハチ,  ハツ",Bát,"Eight, 8",Số 8
12,刀,"かたな, そり",トウ,Đao,"Sword , katana","Cái đao, con dao"
13,力,ちから,"リョク,  リキ,  リイ",Lực,force; strength; might; vigour; vigor; energy,Sức lực
14,十,"とお, と, そ","ジュウ,  ジッ,  ジュッ",Thập,"Ten, 10",Số 10
15,又," また,また-, また.の",ユウ,Hựu,again; once more; once again; another time; some other time​,Còn lại
16,乃,"の, すなわ.ち,  なんじ","ナイ, ダイ,ノ, アイ",Nãi,s; of; belonging to,"Bèn, rồi thì, bởi vậy"
17,万,よろず,"マン,  バン",Vạn,"Ten thousand, 10000",mười nghìn
18,丈,"たけ, だけ",ジョウ,Trượng,height; stature,"đơn vị đo (bằng 10 thước), già cả"
19,三,み、 み.つ、 みっ.つ,サン、 ゾウ,Tam,Three,Số 3
20, 上,うえ、 -うえ、 うわ-、 かみ、 あ.げる、 -あ.げる、 あ.がる、 -あ.がる、 あ.がり、 -あ.がり、 のぼ.る、 のぼ.り、 のぼ.せる、 のぼ.す、 たてまつ.る,ジョウ、 ショウ、 シャン,Thượng,above; up; over; elder ,ở phía trên
21, 下,した、 しも、 もと、 さ.げる、 さ.がる、 くだ.る、 くだ.り、 くだ.す、 -くだ.す、 くだ.さる、 お.ろす、 お.りる,カ、 ゲ,Hạ,below; down; under; younger,ở phía dưới
22,丸,まる、 まる.める、 まる.い,ガン,Hoàn,"circle, whole, full","viên, tròn"
23,久, ひさ.しい,キュウ、 ク,Cửu,a long time (since the last time); first in a long time,"Lâu, chờ đợi"
24,亡,な.い、 な.き-、 ほろ.びる、 ほろ.ぶ、 ほろ.ぼす,ボウ、 モウ,Vong,death,"Chết, mất"
25, 凡,およ.そ、 おうよ.そ、 すべ.て,ボン、 ハン,Phàm,about; roughly; approximately​,"bình thường, đại khái, chung"
26,刃,は、 やいば、 き.る, ジン、 ニン,Nhẫn,"edge (of a knife or sword), blade",mũi nhọn
27, 千,ち,セン,Thiên,"1,000; thousand​","nghìn, 1000"
28, 口,くち,コウ、 ク,Khẩu,"mouth, gate, entrance","cái miệng, cửu"
29,土,つち,ド、 ト,Thổ,earth; soil; dirt; clay; mud​,"đất, sao Thổ"
30, 士,さむらい,シ,Sĩ,"gentleman, scholar, samurai, samurai radical (no. 33)","học trò, quan"
31, 夕,ゆう,セキ,Tịch ,evening,"buổi chiều, buổi tối"
32, 大,おお-、 おお.きい、 -おお.いに,ダイ、 タイ,Đại,large; big; great; huge; vast; major; important; serious; severe,"to, lớn"
33, 女,おんな、 め, ジョ、 ニョ、 ニョウ,Nữ,female; woman; female sex,"Đàn bà, người phái nữ"
34, 子,こ、 -こ、 ね,シ、 ス、 ツ,Tử,child; kid; teenager; youngster; young (non-adult) person,Con trai
35,寸,,スン,Thốn,"measurement, tenth of a shaku, a little, small",tấc (đơn vị đo chiều dài)
36,小,ちい.さい、 こ-、 お-、 さ-,ショウ,Tiểu,"little, small",nhỏ
37,山, やま,サン、 セン,Sơn,mountain,"núi, mồ mả"
38, 川,かわ,セン,Xuyên,"stream, river, river or three-stroke river radical","dòng nước, sông, cánh đồng"
39,工,,コウ、 ク、 グ,Công,"craft, construction, worker","Công việc, người thợ"
40,己,おのれ、 つちのと、 な,コ、 キ,Kỷ,"I, me, self","Riêng, mình"
41,干,ほ.す、 ほ.し-、 -ぼ.し、 ひ.る,カン,Can,"dry, parch, ebb, recede, interfere, intercede","khô, cạn kiệt, can thiệp, cầu, mong"
42,弓,ゆみ,キュウ,Cung,"bow, bow (archery, violin)","Cong, cái cung"
43,才,,サイ,Tài,"genius, years old, cubic shaku, talent","mới, vừa mới, tài năng "
44,之,の、 これ、 ゆく、 この,シ,Chi,"of, this  this one, this person","đã rồi, thuộc về"
45,巾,おお.い、 ちきり、 きれ, キン、 フク,Cân,"towel, hanging scroll, width",cái khăn
46, 乞,こ.う,コツ、 キツ、 キ、 キケ、 コチ,Khất,"beg, invite, ask","kẻ ăn mày, người ăn xin"
47,于,ここに、 ああ、 おいて、 に、 より、 を,ウ、 ク,Vu,"going, from","Đi, về, vu quy"
48,也,なり、 か、 また, ヤ、 エ,Dã,to be,Cũng vậy
49, 々,,,,kanji repetition mark​,
50,勺,,シャク,Chước,"ladle, one tenth of a go, dip, traditional unit of volume, 18 ml of water​",múc lấy
51,不,,ブ,Phủ,"negative, non-","Phủ, không"
52, 与,あた.える、 あずか.る、 くみ.する、 ともに,,Dư,"Give, participate in",Cho
53, 中,なか、 うち、 あた.る,チュウ,Trung,"Center, inside, middle","ở giữa, ở trong"
54, 丹,に,タン,"Đan, Đơn","Red, Pills","Thuốc viên, Đỏ"
55,予,あらかじ.め,ヨ、 シャ,Dư,"beforehand, previous, myself, I","Trao, cho"
56,互,たが.い、 かたみ.に,ゴ,Hỗ,"mutually, reciprocally, together",Lẫn nhau
57,五,いつ、 いつ.つ,ゴ,Ngũ,"Five, 5","Năm, 5"
58, 井,い,セイ、 ショウ,Tỉnh,"well, well crib, town, community",cái giếng
59, 仁,,ジン、 ニ、 ニン,Nhân,"humanity, virtue, benevolence, charity, man, kernel","Lòng người, nhân trong hạt"
60, 今,いま,コン、 キン,Kim,now,"Nay, bây giờ"
61, 介,,カイ,Giới,"jammed in, shellfish, mediate, concern oneself with","Trung gian, ở giữa 2 bên"
62, 仏,ほとけ,ブツ、 フツ,Phật,"Buddha, the dead, France",Phật
63, 元,もと,ゲン、 ガン,Nguyên,"beginning, former time, origin","Bắt đầu, chủ yếu"
64, 公, おおやけ,コウ、 ク,Công,"public, prince, official, governmental","Công bằng, chung"
65,六,む、 む.つ、 むっ.つ、 むい,ロク、 リク,Lục,"Six, 6","Sáu, 6"
66, 内, うち,ナイ、 ダイ,Nội,"inside, within, between, among, house, home",Bên trong
67,円,まる.い、 まる、 まど、 まど.か、 まろ.やか,エン,Viên,"circle, yen, round","Hình tròn, cầu"
68, 冗,,ジョウ,Nhũng,"superfluous, uselessness","Vô tích sự, phiền nhiễu"
69, 凶,,キョウ,Hung,"villain, evil, bad luck, disaster","Hung ác, hung tợn"
70,分,わ.ける、 わ.け、 わ.かれる、 わ.かる、 わ.かつ,ブン、 フン、 ブ,Phân,"part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100",Phân chia
71, 切, き.る、 -き.る、 き.り、 -き.り、 -ぎ.り、 き.れる、 -き.れる、 き.れ、 -き.れ、 -ぎ.れ,セツ、 サイ,Thiết,"cut, cutoff, be sharp","Cắt, chạm khắc"
72, 刈,か.る,ガイ、 カイ,Ngải,"reap, cut, clip, trim, prune",Cắt cỏ
73,化,ば.ける、 ば.かす、 ふ.ける、 け.する,カ、 ケ,Hóa,"change, take the form of, influence, enchant, delude, -ization","Biến đổi, cải tiến"
74,匹,ひき,ヒツ,Thất,"equal, head, counter for small animals, roll of cloth","Tấm, đơn lẻ"
75,区,ク、 オウ、 コウ,,Khu,"ward, district","Khu vực, vùng"
76, 升 ,ます,ショウ,Thăng,"measuring box, 1.8 liter",Bay lên
77, 午,うま,ゴ,Ngọ,"noon, sign of the horse, 11AM-1PM, seventh sign of Chinese zodiac",Buổi trưa
78,厄,,ヤク,Ngỏa,"unlucky, misfortune, bad luck, disaster","Khốn khổ, tai họa"
79, 及,およ.ぶ、 およ.び、 および、 およ.ぼす,キュウ,Cập,"reach out, exert, exercise, cause","Tới, kịp, bằng"
80,友,とも,ユウ,Hữu,friend,Bạn bè
81, 双,ふた、 たぐい、 ならぶ、 ふたつ,ソウ,Song,"pair, set, comparison, counter for pairs","Đôi, cặp"
82, 反 ,そ.る、 そ.らす、 かえ.す、 かえ.る、 -かえ.る,ハン、 ホン、 タン、 ホ,Phản,anti-,"Trở lại, ngược lại, sai trái"
83, 収,おさ.める、 おさ.まる,シュウ,Thâu (thu),"income, obtain, reap, pay, supply, store","Thu dọn, lấy về"
84,天,あまつ、 あめ、 あま-,テン,Thiên,"heavens, sky, imperial","Trời, tự nhiên"
85, 太,ふと.い、 ふと.る,タイ、 タ,Thái,"plump, thick, big around",Cao to
86, 夫 ,おっと、 それ,フ、 フウ、 ブ,Phu,"husband, man","Chồng, đàn ông"
87,孔,あな,コウ、 ク,Khổng,"cavity, hole, slit, very, great, exceedingly","Cái lổ, thông suốt"
88, 少, すく.ない、 すこ.し,ショウ,Thiểu,"few, little","Kém, không đủ"
89, 尺,さし,シャク、 セキ,Xích,"shaku, Japanese foot, measure, scale, rule",Thước Trung Quốc (1/3 m) 
90, 屯,たむろ,トン,Truân,"barracks, police station, camp, ton","Khó khăn, gian nan"
91,幻,まぼろし,ゲン,Ảo,"phantasm, vision, dream, illusion, apparition","Hư ảo, không có thực"
92, 弔,とむら.う、 とぶら.う,チョウ,Điếu,"condolences, mourning, funeral",Viếng người chết
93, 引,ひ.く、 ひ.ける,イン,Dẫn,"pull, tug, jerk, admit, install, quote, refer to","Dương cung, dẫn dắt"
94,心,こころ、 -ごころ,シン,Tâm,"heart, mind, spirit, heart radical","Lòng, tim"
95,戸,と,コ,Hộ,"door, counter for houses, door radical ","Cửa 1 cánh, nhà"
96,手,て、 て-、 -て、 た-,シュ、 ズ,Thủ,Hand,Tay
97, 支,ささ.える、 つか.える、 か.う,シ,Chi,"branch, support, sustain, branch radical ","Cấp cho, chi cho, cành"
98, 文,ふみ、 あや,ブン、 モン,"Văn, vấn","sentence, literature, style, art, decoration, figures, plan, literary radical ","Văn, vấn"
99, 斗,,ト、 トウ,Đấu,"Big Dipper, ten sho (vol), sake dipper, dots and cross radical ",Tranh đấu
100, 斤,,キン,Cân,"kin; catty; traditional unit of weight, 600g","Cái rìu, đơn vị đo khối lượng"
101, 方,かた、 -かた、 -がた,ホウ,Phương,direction; way; side; area,"Phía, vuông"
102, 日,ひ、 -び、 -か,ニチ、 ジツ,Nhật,"day, sun, Japan, counter for days","Mặt trời, ngày"
103,月,つき,ゲツ、 ガツ,Nguyệt,"month, moon","Mặt trăng, tháng"
104, 木, き、 こ-,ボク、 モク,Mộc,"tree, wood","Cây, sao Mộc"
105, 欠,か.ける、 か.く,ケツ、 ケン,Khiếm,"lack, gap, fail","Thiếu thốn, nợ"
106,止,と.まる、 -ど.まり、 と.める、 -と.める、 -ど.め、 とど.める、 とど.め、 とど.まる、 や.める、 や.む、 -や.む、 よ.す、 -さ.す、 -さ.し,シ,Chỉ,"stop, halt","Dừng lại, thôi"
107, 比 ,くら.べる,ヒ,Tỷ,"compare, race, ratio","So sánh, đọ"
108, 毛,け,モウ,Mao,"fur, hair, feather, down",Sợi lông
109,氏,うじ、 -うじ,シ,Thị,"family name, surname, clan",Họ
110, 水,みず、 みず-,スイ,Thủy,water,"Nước, sao Thủy"
111, 火, ひ、 -び、 ほ-, カ,Hỏa,fire,lửa
112, 父,ちち,フ,Phụ,father,cha
113, 片,かた-、 かた,ヘン,Phiến,"one-sided, leaf, sheet","Tấm, đơn lẻ"
114, 牛,うし,ギュウ,Ngưu,Cow,con trâu
115,犬,いぬ、 いぬ-,ケン,Khuyển,dog,con chó
116, 王,,オウ、 -ノウ,Vương,"king, rule, magnate",vua
117,巴,ともえ、 うずまき,ハ,Ba,comma-design,"Mong ngóng, dính, sát "
118,允,じょう、 まこと.に、 ゆるす,イン,Duẫn,"license, sincerity, permit","Thành thật, xác đáng"
119, 爪,つめ、 つま-,ソウ,Trảo,"claw, nail, talon",Móng
120, 牙,きば、 は,ガ、 ゲ,Nha,"tusk, fang",Cái răng
121, 匂,にお.う、 にお.い、 にお.わせる,,Cái,"fragrant, stink, glow, insinuate","Kẻ ăn mày, cầu xin"
122, 勾,かぎ、 ま.がる,コウ、 ク,Câu,"be bent, slope, capture","Cái móc câu, vật hình cong"
123,乏,とぼ.しい、 とも.しい,ボウ,Phạp,"destitution, scarce, limited","Thiếu, không đủ"
124, 勿,なか.れ、 なし,モチ、 ブツ、 ボツ,Vật,"not, must not, do not, be not","Dừng lại, chớ"
125,出,で.る、 -で、 だ.す、 -だ.す、 い.でる、 い.だす, シュツ、 スイ,Xuất,"exit, leave, go out, come out, put out, protrude","Ra ngoài, đi ra"
126,世 ,よ,セイ、 セ、 ソウ,Thế,world; society; public,Trên đời
127, 付 ,つ.ける、 -つ.ける、 -づ.ける、 つ.け、 つ.け-、 -つ.け、 -づ.け、 -づけ、 つ.く、 -づ.く、 つ.き、 -つ.き、 -つき、 -づ.き、 -づき,フ,Phó,"adhere, attach, refer to, append",Giao phó
128,仕 ,つか.える,シ、 ジ,Sĩ,"attend, doing, official, serve","Học trò, quan"
129,代,か.わる、 かわ.る、 かわ.り、 か.わり、 -がわ.り、 -が.わり、 か.える、 よ、 しろ,,Đại,"substitute, change, convert, replace, period, age, counter for decades of ages, eras, etc., generation, charge, rate, fee","Triều đại, đại diện, thay thế"
130,仙,,セン、 セント,Tiên,"hermit, wizard, cent","Tiên, đồng xu"
131, 他, ほか, タ,Tha,"other, another, the others","Nó, khác"
132, 以 ,もっ.て,イ,Dĩ,"by means of, because, in view of, compared with","Dùng, sử dụng, lý do, bởi vì"
133,令,,レイ,Linh,"orders, laws, command, decree, good","Lệnh, chỉ thị, viên quan"
134,兄,あに,ケイ、 キョウ,Huynh,"elder brother, big brother",Anh trai
135, 只,ただ,シ,Chích,"only, free, in addition","Chiếc, cái"
136, 史,,シ,Sử,"history, chronicle",Lịch sử
137, 号,さけ.ぶ、 よびな,ゴウ,Hiệu,"nickname, number, item, title, pseudonym, name, call",Hiệu
138,叶,かな.える、 かな.う,キョウ,Diệp,"grant, answer",Lá cây
139,𠮟,しか.る,シツ、 シチ、 カ,,"scold, reprove",
140,叱,しか.る,シツ、 シチ、 カ,Sất,"scold, reprove","Quát, hét"
141,加,くわ.える、 くわ.わる,カ,Gia,"add, addition, increase, join, include, Canada","Thêm vào, tăng thêm"
142, 占,し.める、 うらな.う,セン,"Chiếm, Chiêm","fortune-telling, divining, forecasting, occupy, hold, have, get, take","Chiếm đoạt, xem tốt hay xấu"
143,可, -べ.き、 -べ.し,カ、 コク,Khả,"can, passable, mustn't, should not, do not",Có thể
144, 句,,ク,Cú,"phrase, clause, sentence, passage, paragraph, counter for haiku",Câu nói
145, 司,つかさど.る,シ,Ty,"director, official, govt office, rule, administer","Chủ trì, quản lý"
146,召,め.す, ショウ,"Chiêu, triệu","seduce, call, send for, wear, put on, ride in, buy, eat, drink","Kêu gọi, mời"
147,台,うてな、 われ、 つかさ,ダイ、 タイ,Đài,"pedestal, a stand, counter for machines and vehicles",Cái bàn
148,古,ふる.い、 ふる-、 -ふる.す,コ,Cổ,old,"Cũ, xưa"
149, 右 ,みぎ,ウ、 ユウ,Hữu,right,Bên phải
150, 石,いし,セキ、 シャク、 コク,Thạch,stone,Đá
151, 四, よ、 よ.つ、 よっ.つ、 よん,シ,Tứ,Four,Bốn
152,囚,とら.われる,シュウ,Tù,"captured, criminal, arrest, catch","Giam giữ, tù"
153, 凸,でこ,トツ,Đột,"convex, beetle brow, uneven","Lồi, nhô ra"
154,凹,くぼ.む、 へこ.む、 ぼこ,オウ,Ao,"concave, hollow, sunken",Lõm vào
155, 冬,ふゆ,トウ,Đông,winter,Mùa đông
156, 処,ところ、 -こ、 お.る,ショ,Xử,"dispose, manage, deal with, sentence, condemn, act, behave, place",
157, 皮, かわ,ヒ,Bì,"pelt, skin, hide, leather","Bề ngoài, da, vỏ bọc"
158,奴,やつ、 やっこ,ド,Nô,"guy, slave, manservant, fellow","Đầy tớ, nô lệ"
159,功,いさお,コウ、 ク,Công,"achievement, merits, success, honor, credit","Công lao, thành tích"
160, 巧,たく.み、 たく.む、 うま.い,コウ,Xảo,"adroit, skilled, ingenuity",Khéo léo
161, 包,つつ.む、 くる.む,ホウ,Bao,"wrap, pack up, cover, conceal","Túi, gói, bao quanh, bao bọc"
162, 去,さ.る、 -さ.る,キョ、 コ,Khứ,"gone, past, quit, leave, elapse, eliminate, divorce","Đi, đã qua"
163, 圧,お.す、 へ.す、 おさ.える、 お.さえる,アツ、 エン、 オウ,Áp,"pressure, push, overwhelm, oppress, dominate",
164, 庁,やくしょ,チョウ、 テイ,Sảnh,government office,Phòng khách
165,広,ひろ.い、 ひろ.まる、 ひろ.める、 ひろ.がる、 ひろ.げる,コウ,Quảng,"wide, broad, spacious",
166, 刊,,カン,San,"publish, carve, engrave","Xuất bản, in ấn"
167, 北,きた,ホク,Bắc,north,Phía bắc
168, 半,なか.ば,ハン,Bán,"half, middle, odd number, semi-, part-","Một nữa, giữa chừng"
169, 外,そと、 ほか、 はず.す、 はず.れる、 と-, ガイ、 ゲ,Ngoại,outside,Bên ngoài
170, 央,,オウ,Ương,"center, middle","Ở giữa, trung tâm"
171,失,うしな.う、 う.せる,シツ,Thất,"loss, error, fault","Lỡ, mất, sai lầm"
172, 矢,や,シ,Thi,arrow,bắn cung
173, 尻,しり,コウ,Cừu,"buttocks, hips, butt, rear",xương cùng
174, 尼,あま,ニ,Ni,Buddhist nun​,Nữ sư
175, 左,ひだり,サ、 シャ,Tả,Left,Bên trái
176,布,ぬの、 し.く、 きれ,フ、 ホ,Bố,"linen, cloth, spread, distribute","Vải vóc, bày ra"
177,平,たい.ら、 たい.らげる、 ひら,ヘイ、 ビョウ、 ヒョウ,Bình,"even, flat, peace",Bằng phẳng
178, 幼,おさな.い,ヨウ,Ấu,"infancy, childhood","Bé, nhỏ tuổi"
179, 弁,,,"Biền, BIện","valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish, conical cap",Mũ lớn cảu quan ngày xưa
180,必,かなら.ず,ヒツ,Tất,"invariably, certain, inevitable","Tất yếu, nhất định"
181,打,,,,,
182, 払,,,,,
183, 斥,,,,,
184, 丘,,,,,
185, 未,,,,,
186,末,,,,,
187,末,,,,,
188, 本,,,,,
189, 札,,,,,
190,正,,,,,
191, 母,,,,,
192,民,,,,,
